"Product";"Price";"Quantity";"Date"
"Teddybear";"3.789,33";2;"2018-08-14"
"Teddybear";"2.702,17";1;"2018-02-17"
"Table";"2.932,29";5;"2018-10-09"
"Lamp";"671,70";3;"2018-12-11"
"Teddybear";"481,21";3;"2018-03-24"
"Table";"456,52";3;"2018-05-14"
"Teddybear";"1.149,44";3;"2018-07-18"
"Teddybear";"3.037,85";3;"2018-11-23"
"Lamp";"2.973,60";3;"2018-08-01"
"Teddybear";"44,24";1;"2018-05-10"
"Chair";"1.118,25";4;"2018-06-27"
"Chair";"2.960,20";2;"2018-06-20"
"Chair";"2.654,73";1;"2018-06-12"
"Teddybear";"524,49";3;"2018-08-02"
"Lamp";"1.191,67";1;"2018-01-25"
"Table";"3.705,90";4;"2018-03-29"
"Teddybear";"1.378,42";3;"2018-10-26"
"Teddybear";"32,02";2;"2018-10-16"
"Lamp";"3.294,24";2;"2018-09-05"
"Lamp";"3.457,16";1;"2018-01-27"
"Table";"3.996,22";2;"2018-05-18"
"Table";"3.579,58";2;"2018-07-12"
"Table";"440,52";3;"2018-01-07"
"Lamp";"581,61";1;"2018-03-11"
"Chair";"3.777,91";3;"2018-12-01"
"Teddybear";"2.208,28";5;"2018-12-19"
"Lamp";"252,78";2;"2018-06-23"
"Lamp";"1.528,24";5;"2018-02-11"
"Lamp";"924,05";1;"2018-08-12"
"Table";"3.407,30";2;"2018-11-18"
"Lamp";"2.765,44";1;"2018-12-03"
"Table";"2.441,57";4;"2018-06-09"
"Teddybear";"2.338,91";5;"2018-01-05"
"Table";"3.262,10";2;"2018-06-30"
"Chair";"1.333,19";1;"2018-05-26"
"Teddybear";"2.912,85";3;"2018-11-25"
"Teddybear";"3.325,12";3;"2018-10-15"
"Table";"2.964,17";1;"2018-09-26"
"Table";"2.999,49";4;"2018-02-15"
"Teddybear";"1.017,31";4;"2018-01-04"
"Teddybear";"1.654,04";2;"2018-05-01"
"Lamp";"3.754,68";4;"2018-08-02"
"Teddybear";"686,35";3;"2018-10-16"
"Table";"2.020,82";2;"2018-09-29"
"Table";"1.418,48";4;"2018-09-26"
"Lamp";"273,17";1;"2018-11-01"
"Teddybear";"1.990,44";4;"2018-11-19"
"Chair";"1.321,69";5;"2018-10-10"
"Table";"806,55";3;"2018-04-25"
"Table";"2.814,38";1;"2018-07-09"
"Lamp";"1.791,99";5;"2018-10-13"
"Teddybear";"728,98";1;"2018-05-15"
"Teddybear";"2.886,64";2;"2018-02-07"
"Table";"587,24";4;"2018-09-09"
"Table";"3.125,54";1;"2018-03-14"
"Teddybear";"1.293,45";3;"2018-04-14"
"Chair";"1.692,43";1;"2018-11-23"
"Table";"1.046,42";5;"2018-11-10"
"Chair";"714,48";3;"2018-07-16"
"Table";"2.554,01";3;"2018-10-10"
"Teddybear";"194,70";1;"2018-05-30"
"Teddybear";"940,13";1;"2018-06-09"
"Table";"1.326,57";2;"2018-06-29"
"Table";"1.403,95";5;"2018-05-23"
"Teddybear";"18,97";1;"2018-10-13"
"Teddybear";"131,41";4;"2018-11-06"
"Teddybear";"2.528,37";5;"2018-08-23"
"Table";"3.892,62";3;"2018-09-16"
"Lamp";"1.575,50";1;"2018-12-29"
"Lamp";"3.057,45";5;"2018-10-13"
"Chair";"3.641,81";3;"2018-07-14"
"Table";"1.527,17";5;"2018-06-27"
"Chair";"412,02";1;"2018-02-01"
"Lamp";"2.870,67";5;"2018-01-05"
"Lamp";"2.709,78";5;"2018-01-24"
"Lamp";"806,69";4;"2018-11-05"
"Lamp";"3.324,38";3;"2018-05-07"
"Chair";"1.558,67";5;"2018-05-08"
"Lamp";"947,75";2;"2018-09-27"
"Table";"3.001,60";2;"2018-01-17"
"Teddybear";"1.410,72";4;"2018-12-14"
"Table";"3.188,07";5;"2018-10-28"
"Chair";"2.727,75";2;"2018-05-27"
"Lamp";"980,45";1;"2018-03-10"
"Teddybear";"1.541,24";5;"2018-03-03"
"Teddybear";"3.362,44";5;"2018-11-22"
"Lamp";"3.016,96";4;"2018-04-18"
"Teddybear";"334,54";5;"2018-08-04"
"Table";"3.137,93";3;"2018-10-19"
"Chair";"216,22";2;"2018-08-08"
"Lamp";"3.332,12";2;"2018-10-06"
"Table";"2.612,45";1;"2018-01-31"
"Chair";"3.627,30";4;"2018-05-24"
"Lamp";"1.487,57";3;"2018-03-30"
"Lamp";"2.986,36";2;"2018-02-27"
"Lamp";"2.249,07";2;"2018-10-05"
"Table";"542,82";3;"2018-10-12"
"Table";"3.727,54";3;"2018-04-20"
"Table";"2.770,67";2;"2018-07-27"
"Chair";"2.774,48";1;"2018-04-23"
"Teddybear";"519,89";5;"2018-05-13"
"Table";"3.704,42";4;"2018-12-17"
"Lamp";"1.038,69";4;"2018-06-27"
"Teddybear";"1.640,92";1;"2018-06-14"
"Teddybear";"2.979,71";5;"2018-01-30"
